YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",103608,VAJRA LANGHE NEBBIOLO DOC - 750ML,WINE,0.48,0.0,2.0
2020,1,CASTLE BRANDS USA CORP,10375,PALLINI LIMONCELLO 6/CS - 750ML,LIQUOR,11.99,15.0,0.0
2020,1,LEGENDS LTD,10387,FIRESTONE NITRO MERLIN - 50L,KEGS,0.0,0.0,1.0
2020,1,WASHBURN WINE CO,10394,DE GARRE BELGIUM ALE - 750ML,BEER,0.0,0.0,2.0
2020,1,Default,104,FOUR BOTTLE WINE TOTE,STR_SUPPLIES,0.4,0.0,0.0
2020,1,CELICAR LLC DBA TWIN VALLEY DISTILLERS,10401,DIRTY APPLES CINNAMON WHISKEY - 750ML,LIQUOR,0.17,0.0,0.0
2020,1,DIONYSOS IMPORTS INC,104060,LES CHAILLOUX SANCERRE CHERRIE - 750ML,WINE,2.55,5.0,3.0
2020,1,DOPS INC,10407,21ST AMENDMENT EL SULLY CERVEZA - 4/6 12.0Z,BEER,0.0,0.0,6.0
2020,1,JACKSON FAMILY ENTERPRISES INC,10413,MURPHY GOODE CHARD - 750ML,WINE,9.41,8.0,13.0
2020,1,YOUNG WON TRADING INC,104280,SHO CHIKU BAI SAKE - 750ML,WINE,0.0,0.0,6.0
2020,1,BUCK DISTRIBUTING COMPANY INC,10430,STONE IPA 4/6 NR - 12OZ,BEER,33.79,45.0,120.75
2020,1,PUNTO VINO LLC,104302,EREDI LODALI BAROLO 6/CS - 750ML,WINE,1.19,0.0,0.0
2020,1,VICTORY BREWING COMPANY LLC,10431,VICTORY GOLDEN MONKEY 4/6 NR,BEER,16.75,19.0,191.0
2020,1,DIONYSOS IMPORTS INC,10432,MYTHOS BEER 4/6NR - 11.2OZ,BEER,1.5,0.0,35.0
2020,1,LEGENDS LTD,10434,LAGUNITAS IPA 4/6 NR - 12OZ,BEER,63.5,63.0,210.0
2020,1,LEGENDS LTD,10435,LAGUNITAS SUMPIN SUMPIN 4/6 NR - 12OZ,BEER,15.41,22.0,57.0
2020,1,LEGENDS LTD,10436,OSKAR BLUES DALES PALE ALE 12.OZ 4/6 CAN,BEER,37.0,46.0,113.0
2020,1,LEGENDS LTD,10437,CRISPIN CIDER ORIGINAL 4/6 NR - 12OZ,BEER,0.0,0.0,25.0
2020,1,LEGENDS LTD,10438,BRECKENRIDGE VANILLA PORTER 4/6 NR - 12OZ,BEER,7.0,5.0,54.0
2020,1,THE WINE GROUP,10439,CONCANNON FOUNDERS CAB - 750ML,WINE,0.74,0.0,3.0
2020,1,THE WINE GROUP,10440,CONCANNON FOUNDERS CHARD - 750ML,WINE,0.41,0.0,3.0
2020,1,THE WINE GROUP,10441,LOVE P/NOIR - 750ML,WINE,8.49,17.67,25.0
2020,1,PERNOD RICARD USA LLC,10442,OLMECA ALTOS TEQ - PLATA - 750ML,LIQUOR,20.95,34.0,4.0
2020,1,PERNOD RICARD USA LLC,10443,OLMECA ALTOS TEQ - REPOSADO - 750ML,LIQUOR,20.7,38.0,2.0
2020,1,PERNOD RICARD USA LLC,10444,JAMESON CASKMATES STOUT - 750ML,LIQUOR,36.31,29.66,0.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10445,BRECKENRIDGE BOURBON - 750ML,LIQUOR,12.07,11.0,2.0
2020,1,ELITE WINES IMPORTS,104450,SEIFRIED S/BLC - 750ML,WINE,0.0,0.0,1.0
2020,1,DOPS INC,104604,DRY CREEK HERITAGE CLONE ZIN - 750ML,WINE,0.0,0.0,1.0
2020,1,LUNEAU USA INC,104639,JULES BERTIER SPARK - 750ML,WINE,0.0,0.0,2.0
2020,1,PERNOD RICARD USA LLC,10472,MALIBU RUM - PASSION FRUIT - 750ML,LIQUOR,3.9,0.0,0.0
2020,1,LEGENDS LTD,10475,HITACHINO ANABAI - 11.2OZ,BEER,0.0,0.0,1.0
2020,1,BARON FRANCOIS LTD,10480,CHATEAU LAUBADE ARMAGNAC VSOP - 750ML,LIQUOR,2.37,4.0,0.0
2020,1,BARON FRANCOIS LTD,10499,CHATEAU LAUBADE ARMAGNAC XO - 750ML,LIQUOR,1.53,1.0,0.0
2020,1,Default,105,WINE GIFT TOTE SINGLE BOTTLE,STR_SUPPLIES,10.6,0.0,0.0
2020,1,ROYAL WINE CORP,105031,CH DE LA GRAVE RED - 750ML,WINE,0.0,0.0,10.0
2020,1,PROXIMO SPIRITS INC,10529,JOSE CUERVO GOLDEN MARGARITA - 1.75L,LIQUOR,46.66,47.0,0.0
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,10545,FERRARI CARANO MERLOT SONOMA - 750ML,WINE,0.0,0.0,1.0
2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,105490,HAKUTSURU SAKE - 720ML,WINE,3.07,4.0,0.0
2020,1,TROEGS BREWING COMPANY,1058,TROEGS HOPBACK ALE 4/6 NR,BEER,6.79,9.0,11.0
2020,1,LEGENDS LTD,10586,ALHAMBRA RESERVA 20L-1/6K,KEGS,0.0,0.0,1.0
2020,1,LEGENDS LTD,10593,ALHAMBRA RESERVA - 4/6NR 12.0Z,BEER,0.0,0.0,2.0
2020,1,Default,106,SIX BOTTLE WINE TOTE (NO LOGO),STR_SUPPLIES,2.1,6.0,0.0
2020,1,DOPS INC,10603,NORTH COAST OLD RASPUTIN - 22.0Z,BEER,0.24,1.0,1.0
2020,1,LEGENDS LTD,10609,FIRESTONE LUPONIC DISTORTION - 4/6 CAN 12.0Z,BEER,0.0,0.0,1.0
2020,1,LEGENDS LTD,10610,LAGUNITAS LIL SUMPIN - 2/12 NR 12.0Z,BEER,1.5,0.0,7.0
2020,1,LEGENDS LTD,10632,FIRESTONE LUPONIC DISTORTION - 50L,KEGS,0.0,0.0,2.0
2020,1,DIAGEO NORTH AMERICA INC,10634,SMIRNOFF VODKA - CHERRY - 1L,LIQUOR,7.02,8.75,1.0
2020,1,THE WINE GROUP,10637,CUPCAKE PROSECCO - 187 3PK,WINE,4.53,5.0,13.0
2020,1,THE WINE GROUP,10638,FRANZIA PINK MOSCATO - 5L,WINE,2.5,4.0,20.0
2020,1,LEGENDS LTD,10646,OSKAR BLUES G'KNIGHT - 4/6 CAN 12.OZ,BEER,0.25,0.0,7.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",106518,MADFISH WEST AUST SHZ - 750ML,WINE,0.0,0.0,2.0
2020,1,JIM BEAM BRANDS CO,10666,SAUZA HORNITOS REPOSATO - 375ML,LIQUOR,0.16,0.0,0.0
2020,1,JIM BEAM BRANDS CO,10667,EFFEN VODKA - BLACK CHERRY - 375ML,LIQUOR,0.08,0.0,0.0
2020,1,JIM BEAM BRANDS CO,10668,MAKERS MARK BOURBON - 375ML,LIQUOR,26.25,21.0,1.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10669,TWO JAMES JOHNNY SMOKING GUN WHISKEY - 750ML,LIQUOR,0.17,0.0,0.0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,10675,BRINLEY GOLD SHIPWRECK SPICED RUM - 750ML,LIQUOR,0.17,1.0,0.0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,10676,BRINLEY GOLD SHIPWRECK COCONUT RUM - 750ML,LIQUOR,0.17,0.0,0.0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,10678,BRINLEY GOLD SHIPWRECK COCONUT RUM CREAM- 750ML,LIQUOR,0.0,1.0,0.0
2020,1,MONSIEUR TOUTON SELECTION,106917,ALSACE WILLIAM CREMANT BRUT - 750ML,WINE,0.0,0.0,4.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,10693,TAYLOR LAKE COUNTRY RED - 3L,WINE,3.0,5.0,0.0
2020,1,LEGENDS LTD,10696,FIRESTONE VARIETY - 2/12 12.OZ CAN,BEER,2.0,2.0,13.0
2020,1,MICHAEL R DOWNEY SELECTIONS INC,106968,ADRIANO ADAMI PROSECCO BRUT - 750ML,WINE,0.0,0.0,2.0
2020,1,,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,14.69,18.0,0.0
2020,1,ATLAS BREW WORKS LLC,10711,ATLAS BREW WORKS PONZI - 4/6 12.OZ CAN,BEER,19.54,22.0,50.75
2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,107123,DELLA SCALA P/GRIG - 750ML,WINE,0.75,0.0,0.0
2020,1,YOUNG WON TRADING INC,107352,SHO CHIKU BAI NIGORI SAKE - 375ML,WINE,0.0,0.0,6.0
2020,1,THE WINE GROUP,10737,CONCANNON FOUNDERS PETITE SYRAH - 750ML,WINE,0.32,0.0,2.0
2020,1,FRONT PORCH MICRO WINERY LLC,10738,THE WINERY AT OLNEY CHARD - 750ML,WINE,0.32,0.0,0.0
2020,1,TREASURY WINE ESTATES AMERICAS COMPANY,10740,BERINGER FOUNDERS EST P/GRIG - 750ML,WINE,3.1,0.0,0.0
2020,1,TREASURY WINE ESTATES AMERICAS COMPANY,10758,CH ST JEAN CAL MER - 750ML,WINE,2.81,4.0,9.0
2020,1,TRADEWINDS SPECIALTY IMPORTS LLC,10768,ER BOQUERON - 330ML,BEER,0.0,0.0,1.0
2020,1,YOUNG WON TRADING INC,107816,HAKUSHIKA GOLD SAKE - 720ML,WINE,0.0,0.0,1.0
2020,1,CONSTELLATION BRANDS,10787,HIGH WEST YIPPEE KI-YAY RYE - 750ML,LIQUOR,3.23,0.0,0.0
2020,1,TREASURY WINE ESTATES AMERICAS COMPANY,10804,CH ST JEAN CAL CAB - 750ML,WINE,4.32,6.0,23.0
2020,1,MONSIEUR TOUTON SELECTION,108200,SUSANA BALBO CRIOS TORRONTES - 750ML,WINE,0.16,0.0,0.0
2020,1,LEGENDS LTD,10829,WOLFFERS DRY ROSE CIDER - 12.OZ 6/4NR,BEER,0.0,0.0,4.0
2020,1,SIERRA NEVADA BREWING CO,10836,SIERRA NEVADA KELLERWEIS - 1/6K,KEGS,0.0,0.0,1.0
2020,1,BARON FRANCOIS LTD,108367,DOM CAVES DE PRIEURE SANCERRE - 750ML,WINE,0.33,3.0,0.92
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10844,HILLROCK MADIERA FINISHED RYE - 750ML,LIQUOR,0.17,0.0,0.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10847,MARKHAM CAB - 750ML,WINE,1.16,0.0,1.0
2020,1,CONSTELLATION BRANDS,10859,TOM GORE CHARD - 750ML,WINE,0.66,0.0,6.0
2020,1,CONSTELLATION BRANDS,10860,TOM GORE CAB - 750ML,WINE,2.94,3.0,5.0
2020,1,CONSTELLATION BRANDS,10861,RAVAGE CAB - 750ML,WINE,4.44,4.0,6.0
2020,1,CONSTELLATION BRANDS,10862,SERPENTS BITE WHISKEY - 750ML,LIQUOR,2.77,0.0,0.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",108634,INDABA WESTERN CAPE CH/BLC - 750ML,WINE,1.82,3.0,4.0
2020,1,DUGGANS DISTILLERS PROD,10864,FORBIDDEN SECRET WH CHOCOLATE - 750ML,LIQUOR,0.17,0.0,0.0
2020,1,LEGENDS LTD,10866,GIN MARE - 750ML,LIQUOR,0.34,0.0,2.0
2020,1,LEGENDS LTD,10867,GUNPOWDER RYE - 750ML,LIQUOR,0.34,0.0,0.0
2020,1,SAZERAC CO,10869,99 SCHNAPPS - PINEAPPLE - 750ML,LIQUOR,0.64,0.0,0.0
2020,1,VINTAGE WINE ESTATES INC,108790,CARTLIDGE & BROWN CAB - 750ML,WINE,0.0,0.0,3.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,10898,PICCINI CHIANTI - 1.5L,WINE,12.98,9.0,13.83
2020,1,Default,109,WINE TOTE WOOD HANDLE 2 POCKET 4 BTL,STR_SUPPLIES,2.8,0.0,0.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,109053,GOLDWATER DOG POINT S/BLC - 750ML,WINE,0.0,0.0,1.0
2020,1,SAGAMORE WHISKEY LLC,10907,SAGAMORE RYE - 750ML,LIQUOR,22.16,21.0,5.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,10908,SLOOP BETTY VODKA - HONEY - 750ML,LIQUOR,0.68,0.0,0.0
2020,1,JIM BEAM BRANDS CO,10930,LAPHROAIG LORE SCOTCH - 750ML,LIQUOR,0.85,0.0,0.0
2020,1,LEGENDS LTD,10931,FOUNDERS ALL DAY 1/15PK 12OZ CAN,BEER,15.0,12.0,180.0
2020,1,LEGENDS LTD,10932,FOUNDERS ALL DAY - 4/6,BEER,0.0,0.0,45.0
2020,1,LEGENDS LTD,10934,FOUNDERS CENTENNIAL - 4/6,BEER,0.0,0.0,6.0
2020,1,LEGENDS LTD,10936,FOUNDERS DIRTY BASTARD - 4/6,BEER,0.0,0.0,13.0
2020,1,LEGENDS LTD,10940,FOUNDERS PORTER - 4/6,BEER,0.0,0.0,27.0
2020,1,LEGENDS LTD,10946,FOUNDERS NITRO RUBAEUS - 1/2K,KEGS,0.0,0.0,4.0
2020,1,DIONYSOS IMPORTS INC,109525,BOUDIN CHAB - 750ML,WINE,0.0,0.0,1.0
2020,1,LEGENDS LTD,10953,FOUNDERS ALL DAY - 1/2K,KEGS,0.0,0.0,8.0
2020,1,BACCHUS IMPORTERS LTD,10959,OLD LINE SINGLE MALT WHISKEY - 750ML,LIQUOR,0.17,0.0,0.0
2020,1,J LOHR WINERY,10979,J LOHR RIVERSTONE CHARD - 1.5L,WINE,11.07,11.0,4.0
2020,1,PUNTO VINO LLC,109924,HILLINGER ZWEIGELT - 750ML,WINE,0.08,0.0,0.0
2020,1,DOPS INC,10994,ABITA BIG EASY IPA - 12.OZ 4/6,BEER,0.0,0.0,3.0
2020,1,LEGENDS LTD,10997,FOUNDERS KENTUCKY BREAKFAST STOUT - 6/4,BEER,0.17,0.0,0.0
2020,1,Default,110,WINE BOTTLE TOTE 6 BTL HEAVY DUTY,STR_SUPPLIES,0.2,0.0,0.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,110000,SEAGRAM'S GIN - EXTRA DRY - 100ML,LIQUOR,0.24,1.0,0.0
2020,1,SAZERAC CO,11002,ANCIENT AGE BOURBON - 1.75L,LIQUOR,10.63,13.0,0.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,110132,R MONDAVI PRIVATE SEL CAB - 375ML,WINE,3.56,3.0,3.0
2020,1,LEGENDS LTD,11014,LAGUNITAS LUCKY 13 - 12.OZ 4/6 NR,BEER,0.0,0.0,30.0
2020,1,THE WINE GROUP,11019,CHLOE PROSECCO - 750ML,WINE,41.65,30.0,4.0
2020,1,LUXCO SPIRITED BRANDS,11029,EZRA BROOKS BOURBON - 1.75L,LIQUOR,68.3,66.67,0.0
2020,1,BACCHUS IMPORTERS LTD,110345,LUIGI EINAUDI DOLCE DOGLIANI - 750ML,WINE,0.0,0.0,1.0
2020,1,LUXCO SPIRITED BRANDS,11037,EZRA BROOKS BOURBON - 750ML,LIQUOR,4.89,3.92,1.0
2020,1,LEGENDS LTD,11055,AUSTIN ORIGINAL CIDER 4/6 CANS,BEER,0.0,0.0,17.96
2020,1,LEGENDS LTD,11056,AUSTIN PINEAPPLE CIDER - 12.OZ 4/6 CAN,BEER,0.0,0.0,19.0
2020,1,LEGENDS LTD,11057,AUSTIN TEXAS HONEY CIDER - 12.OZ 4/6 CAN,BEER,0.0,0.0,9.0
2020,1,LEGENDS LTD,11062,LONG TRAIL GREEN BLAZE - 12.OZ 4/6 CAN,BEER,0.0,0.0,4.0
2020,1,RELIABLE CHURCHILL LLLP,11070,SEMPE ARMAGNAC VSOP - 750ML,LIQUOR,0.57,1.0,0.0
2020,1,BACCHUS IMPORTERS LTD,11084,SHINSHU MARS IWAI JAPANESE WHISKY - 750ML,LIQUOR,6.43,7.0,3.0
2020,1,BACCHUS IMPORTERS LTD,11085,SHINSHU MARS IWAI TRAD JAPANESE WHISKY - 750ML,LIQUOR,2.4,3.0,0.0
2020,1,RELIABLE CHURCHILL LLLP,11086,WHISTLEPIG 15YR STRAIGHT RYE WHISKEY - 750ML,LIQUOR,2.64,2.0,0.0
2020,1,HEAVEN HILL DISTILLERIES INC,11088,EVAN WILLIAMS BLACK SOUR MASH 7YR - 750ML,LIQUOR,109.97,104.0,13.0
2020,1,DIAGEO NORTH AMERICA INC,11118,BULLEIT BOURBON - 750ML,LIQUOR,82.48,70.0,43.0
2020,1,JACKSON FAMILY ENTERPRISES INC,11142,K JACKSON GRAND RES MER - 750ML,WINE,11.06,0.0,0.0
2020,1,SAZERAC CO,11169,ANCIENT AGE BOURBON - 750ML,LIQUOR,2.56,0.0,0.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",111708,DR PAULY BERG NOBLE HOUSE RIES - 750ML,WINE,0.42,0.0,3.0
2020,1,ELITE WINES IMPORTS,111740,LUSTAU OE INDIA SOLERA SHERRY - 750ML,WINE,0.0,0.0,1.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,11175,PICAROON OVERPROOF WHITE RUM - 1L,LIQUOR,0.08,0.0,0.0
2020,1,Default,112,CORKSCREW,REF,16.1,25.0,0.0
2020,1,JIM BEAM BRANDS CO,11207,MAKER'S MARK 90P - 1L,LIQUOR,45.82,34.0,41.0
2020,1,CONSTELLATION BRANDS,11215,BLACK BOX SHIRAZ 6/CS - 3L,WINE,27.29,22.0,5.0
2020,1,MICHAEL R DOWNEY SELECTIONS INC,112283,DI LENARDO P/GRIG - 750ML,WINE,0.0,0.0,7.0
2020,1,CAMPARI AMERICA LLC,11231,WILD TURKEY 101P - 1.75L,LIQUOR,26.86,34.0,0.0
2020,1,PERNOD RICARD USA LLC,11266,MALIBU RUM - 1L,LIQUOR,24.66,33.0,18.0
2020,1,ROYAL WINE CORP,112720,RASHI LIGHT PINK CONCORD - 750ML,WINE,0.0,0.0,3.0
2020,1,ROYAL WINE CORP,112739,RASHI LIGHT RED CONCORD - 750ML,WINE,3.08,1.0,18.0
2020,1,CONSTELLATION BRANDS,11274,BLACKSTONE CALIF MER - 1.5L,WINE,0.17,0.0,0.0
2020,1,ROYAL WINE CORP,112771,RASHI LIGHT WHITE CONCORD - 750ML,WINE,0.0,0.0,13.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",112917,TIAMO PINOT GRIGIO - 750ML,WINE,0.56,0.0,16.0
2020,1,,113,BARTENDERS BLACK  BOOK,STR_SUPPLIES,0.4,0.0,0.0
2020,1,RELIABLE CHURCHILL LLLP,11307,AFROHEAD BRILAND 07 AGED RUM - 750ML,LIQUOR,0.17,1.0,0.0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,11310,TEMPUS FUGIT SPIRITS GRAN CLASS BITTERS - 750ML,LIQUOR,0.67,0.0,0.0
2020,1,RELIABLE CHURCHILL LLLP,11316,FEW RYE WHISKEY - 750ML,LIQUOR,1.02,0.0,0.0
2020,1,RELIABLE CHURCHILL LLLP,11317,FEW BREAKFAST GIN - 750ML,LIQUOR,1.53,1.0,0.0
2020,1,NEW PARROTT & CO,11320,WENTE CHARLES WETMORE RES CAB - 750ML,WINE,1.97,12.0,2.0
2020,1,CRAFT WINE & SPIRITS OF MARYLAND LLC,11339,JOSEPH CARTRON TRIPLE SEC - 750ML,LIQUOR,0.0,0.0,2.0
2020,1,OPICI FAMILY DISTRIBUTING OF MD,11341,LIQUEUR DE VIOLETTES - 750ML,LIQUOR,0.51,0.0,0.0
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",113441,SPY VALLEY MARLBOROUGH S/BLC - 750ML,WINE,1.69,4.0,16.0
2020,1,JIM BEAM BRANDS CO,11350,CRUZAN AGED RUM 151 PROOF - 1L,LIQUOR,0.72,0.0,0.0
2020,1,LEGENDS LTD,11354,STILLWATER EXTRA DRY - 16.OZ 6/4 CAN,BEER,0.0,0.0,8.0
2020,1,LEGENDS LTD,11358,OMMEGANG WITTE - 12.OZ 4/6NR,BEER,0.0,0.0,4.0
2020,1,LEGENDS LTD,11359,OMMEGANG RARE VOS - 12.OZ 4/6 NR,BEER,0.0,0.0,5.0
2020,1,LEGENDS LTD,11360,LAGUNITAS 12TH OF NEVER - 12.OZ 2/12 CAN,BEER,0.0,0.0,4.0
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,11373,THE POGUES IRISH WHISKEY - 750ML,LIQUOR,0.17,3.0,0.0
2020,1,MHW LTD,11374,ETRUSCO AMARO - 750ML,LIQUOR,0.17,0.0,0.0
2020,1,DUGGANS DISTILLERS PROD,11375,LA FOGATA TEQUILA - PLATINUM - 750ML,LIQUOR,0.34,0.0,0.0
2020,1,DUGGANS DISTILLERS PROD,11376,BOBBY'S GIN - 750ML,LIQUOR,0.68,1.0,0.0
2020,1,WILLIAM GRANT AND SONS INC,11380,FLOR DE CANA RUM - CENTENARIO - 750ML,LIQUOR,4.4,6.0,0.0
2020,1,CAMPARI AMERICA LLC,11383,SKYY INFUSIONS TROPICAL MANGO - 750ML,LIQUOR,0.4,0.0,0.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,11391,JUNIPERO GIN - 750ML,LIQUOR,0.51,0.0,0.0
2020,1,JIM BEAM BRANDS CO,11395,CRUZAN RUM 151 PROOF - 750ML,LIQUOR,2.11,0.0,0.0
2020,1,Default,114,WINE PAPER GIFT TOTE SINGLE BOTTLE,STR_SUPPLIES,47.72,64.0,0.0
2020,1,CELICAR LLC DBA TWIN VALLEY DISTILLERS,11402,BLACK JOE COFFEE - 750ML,LIQUOR,0.0,1.0,0.0
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,11418,WEST CORK IRISH WHISKEY 10 YEAR - 750ML,LIQUOR,0.68,0.0,0.0
